### filename	M_nu	Omega_m	10^9*A_s	sigma_8
Om0.18159_As1.79315_mva0.02743_mvb0.02874_mvc0.05735_h0.70000_Ode0.81586	0.11351	0.1841	1.7932	0.4885
Om0.20080_As2.30753_mva0.00773_mvb0.01155_mvc0.05096_h0.70000_Ode0.79760	0.07024	0.2023	2.3075	0.6231
Om0.20494_As2.63405_mva0.10004_mvb0.10040_mvc0.11200_h0.70000_Ode0.78815	0.31244	0.2118	2.6341	0.6234
Om0.21184_As2.41979_mva0.09629_mvb0.09667_mvc0.10866_h0.70000_Ode0.78149	0.30162	0.2185	2.4198	0.6205
Om0.21360_As1.76669_mva0.15048_mvb0.15072_mvc0.15868_h0.70000_Ode0.77624	0.45988	0.2237	1.7667	0.5066
Om0.22372_As1.68717_mva0.05988_mvb0.06049_mvc0.07824_h0.70000_Ode0.77187	0.19861	0.2281	1.6872	0.5664
Om0.22711_As2.71739_mva0.16652_mvb0.16674_mvc0.17397_h0.70000_Ode0.76170	0.50723	0.2383	2.7174	0.6595
Om0.22836_As1.86204_mva0.04545_mvb0.04625_mvc0.06784_h0.70000_Ode0.76808	0.15954	0.2319	1.8620	0.6145
Om0.22871_As1.81761_mva0.09450_mvb0.09489_mvc0.10708_h0.70000_Ode0.76473	0.29647	0.2352	1.8176	0.5813
Om0.23348_As2.22564_mva0.11071_mvb0.11104_mvc0.12163_h0.70000_Ode0.75893	0.34337	0.2410	2.2256	0.6462
Om0.23797_As2.14357_mva0.08028_mvb0.08074_mvc0.09477_h0.70000_Ode0.75636	0.25580	0.2436	2.1436	0.6641
Om0.24155_As2.55345_mva0.06104_mvb0.06164_mvc0.07914_h0.70000_Ode0.75397	0.20183	0.2460	2.5535	0.7474
Om0.24296_As2.39440_mva0.07475_mvb0.07524_mvc0.09014_h0.70000_Ode0.75172	0.24013	0.2482	2.3944	0.7188
Om0.24337_As2.08815_mva0.10201_mvb0.10237_mvc0.11376_h0.70000_Ode0.74959	0.31814	0.2504	2.0882	0.6564
Om0.24850_As2.06439_mva0.05197_mvb0.05267_mvc0.07237_h0.70000_Ode0.74757	0.17701	0.2524	2.0644	0.6944
Om0.25141_As1.28861_mva0.03485_mvb0.03589_mvc0.06125_h0.70000_Ode0.74563	0.13198	0.2543	1.2886	0.5618
Om0.25194_As2.25174_mva0.05757_mvb0.05821_mvc0.07650_h0.70000_Ode0.74378	0.19228	0.2562	2.2517	0.7308
Om0.25450_As2.13561_mva0.04438_mvb0.04520_mvc0.06713_h0.70000_Ode0.74201	0.15671	0.2579	2.1356	0.7256
Om0.25663_As1.84047_mva0.09107_mvb0.09147_mvc0.10407_h0.70000_Ode0.73702	0.28661	0.2629	1.8405	0.6528
Om0.25679_As2.16763_mva0.11314_mvb0.11346_mvc0.12384_h0.70000_Ode0.73546	0.35044	0.2645	2.1676	0.6958
Om0.25795_As2.43331_mva0.01163_mvb0.01446_mvc0.05169_h0.70000_Ode0.74029	0.07778	0.2597	2.4333	0.8008
Om0.25806_As1.87242_mva0.04119_mvb0.04207_mvc0.06506_h0.70000_Ode0.73863	0.14832	0.2613	1.8724	0.6891
Om0.26047_As1.95706_mva0.07886_mvb0.07933_mvc0.09358_h0.70000_Ode0.73394	0.25177	0.2660	1.9571	0.6891
